Longitude,Latitude,ID2,ROW,COLUMN,ID,Horizons,Depth (cm),DHue,DVal,DChr,Mhue,MVal,MChr,% Clay,Structure,DConsist,WConsist,Stickiness,Plasticity,Roots,Pores,ISFs,Misc. Features
-117.086678,46.778791,3,1,7,3,Ap,21,10YR,4,2,10YR,2,1,,2fgr-3msbk,ha,fr,so,sp,3vf,2vfdt&I,-,"straw residue, horizon is compacted"
-117.086678,46.778791,3,1,7,3,A,39,10YR,3,3,10YR,2,2,,2f-msbk,sh,vfr,ss,po,3vf,3vfdt,-,earthworm casts
-117.086678,46.778791,3,1,7,3,AB,65,10YR,4,4,10YR,3,3,,2msbk,sh,vfr,s,mp,3vf,3vfdt,"cdpf, cdpo","clay-OM skins, worm channels"
-117.086678,46.778791,3,1,7,3,Btb1,98,10YR,4,3,10YR,3,3,,2m-cosbk,sh,vfr,s,mp,2vf,3vf-fdt,"cppf, cfpf","clay skins, several filled krotovinas"
-117.086678,46.778791,3,1,7,3,Btb2,98+,10YR,5,4,10YR,4,4,,2m-cosbk,ha,vfr,s,mp,1vf,3vfdt,"cppf, cfpf","clay skins, Mn-nodules"
-117.085842,46.778666,5,1,9,5,Ap,17,10YR,5,3,10YR,2,2,,2fgr-3fsbk,mh,fr,so,sp,2vf,3vfdt&i,-,slightly compacted
-117.085842,46.778666,5,1,9,5,A,42,10YR,3,3,10YR,2,2,,2mgr-2msbk,mh,vfr,ss,sp,3vf,3vfdt&i,-,few earthworm channels
-117.085842,46.778666,5,1,9,5,BA,66,10YR,5,4,10YR,3,4,,2f-msbk,mh,vfr,ss-s,sp,2vf,3vf-fdt,cdpf,"clay-OM films, very few filled krotovinas"
-117.085842,46.778666,5,1,9,5,Bw1,97,10YR,4,4,10YR,3,4,,2msbk-2fpr,mh,vfr,s,sp,2vf,3vfdt&i,ffpf,"clay films, few filled small krotovinas with clay-OM lining pores"
-117.085842,46.778666,5,1,9,5,Bw2,97+,10YR,5,6,10YR,3,6,,2m-cosbk,ha,fr,ss,po,-,3vfdt&i,-,few small filled krotovinas
