ID2,Latitude,Longitude,Elevation,TopographicWetnessIndex,RelativeSlopePosition,RootDepth,RelativeYieldCV
1,46.77872900102268,-117.08751399999728,781.48643,5.70231,0.070712,,0.29323882480863067
2,46.778691632030224,-117.08706455043719,782.43932,6.43378,0.079845,,0.2207574176323211
3,46.77879100102537,-117.08667800000025,784.93625,5.602043,0.139886,98.0,0.17213320724440678
4,46.778761001018935,-117.08626000000152,786.42902,5.865278,0.176579,,0.11623948668824247
5,46.77866600102665,-117.08584199999783,786.51237,5.538609,0.173804,97.0,0.145872058006489
6,46.77877321025278,-117.08541874519892,788.86724,5.384809,0.240149,,0.14035556112150316
7,46.77863200102642,-117.08500599999726,787.45926,7.231078,0.193289,100.0,0.17360913665570363
8,46.77872100102458,-117.08458800000076,789.37377,5.817064,0.25001,,0.12928486551596247
9,46.778674001023624,-117.08416999999936,790.38151,5.772049,0.280168,103.0,0.16793769870998798
10,46.778737001021355,-117.08375199999682,791.06429,5.968001,0.301439,,0.1966163209024912
11,46.7786580010233,-117.08333399999913,791.7791,5.405498,0.32503,153.0,0.3463749335687857
12,46.77873107677735,-117.08293983817022,790.10768,5.464325,0.274552,,0.2015611403477045
13,46.77876400102563,-117.08249800000463,789.8916,4.893497,0.26973,48.0,0.3146600157343053
14,46.77868863599479,-117.0816321595189,786.32811,12.372137,0.16381,,0.2659435396114048
15,46.77870700102554,-117.08124400000453,787.90394,4.727349,0.214043,64.0,0.19060697198491158
16,46.778826001025564,-117.08040800000407,792.63767,4.957756,0.364053,,0.2176746071489103
17,46.77879700102244,-117.07998999999907,794.40577,4.532107,0.419281,65.0,0.1480977440368902
18,46.7789517373865,-117.08888011980027,773.50774,9.546829,0.0,,0.1734218021642982
19,46.77882662026398,-117.08846626321277,775.17401,4.903562,0.0,64.0,0.32894376669083103
20,46.778867001026,-117.08806400000168,780.12205,4.762335,0.072063,,0.3346290937126113
21,46.77884200102199,-117.08764599999786,783.79064,5.103765,0.143377,114.0,0.2092477411489086
22,46.779015001024526,-117.08722800000714,787.11091,5.43619,0.223658,,0.1563804940924872
23,46.77900277981173,-117.08683096836735,787.07119,5.591133,0.20831,59.0,0.11967611324795922
24,46.77907700102243,-117.08639199999817,789.83481,5.34757,0.282593,,0.2594883086234061
25,46.77904700102568,-117.08597400000161,790.02046,7.166647,0.282506,58.0,0.13721671055079965
26,46.77895200101939,-117.08555600000317,791.24104,4.944853,0.314055,,0.16669387518934042
27,46.77906282015732,-117.08511703761309,793.0763,4.895763,0.366497,96.0,0.1960569905494464
28,46.778918001019214,-117.08472000000046,792.87005,5.041418,0.357993,,0.16923917362247096
29,46.77900700102105,-117.08430200000568,793.80699,4.913666,0.385732,92.0,0.15475492465292243
30,46.77896000102163,-117.08388400000464,794.35491,4.949454,0.402801,,0.21015284282544322
31,46.77902300102438,-117.08346599999722,795.9365,4.921764,0.453144,88.0,0.18975935174171146
32,46.7789440010205,-117.08304799999878,795.15232,4.966191,0.430876,,0.21977140277187415
33,46.77901300102674,-117.08263000000113,796.61409,4.368066,0.478502,59.0,0.17277150008454253
34,46.77905000102482,-117.08221199999544,794.41756,4.485952,0.412101,,0.181958828051766
35,46.77885200102648,-117.08179400000633,788.91865,5.899858,0.242956,45.0,0.17267504795991404
36,46.77900736612355,-117.08140584057901,788.8892,6.69836,0.244216,,0.22933672455842388
37,46.77899300102514,-117.08095799999762,788.70196,11.38518,0.24089,69.0,0.2939651850017742
38,46.77884900101816,-117.08054000000011,791.33848,5.108392,0.323713,,0.1408326696511428
39,46.77911200102652,-117.08012199999816,791.98829,9.134824,0.345465,54.0,0.1886808587219206
40,46.77908300102403,-117.07970400000312,793.52451,8.37352,0.393063,,0.5148635840211592
41,46.77904700101928,-117.07928600000673,796.05144,5.962174,0.470612,105.0,0.17932416970937484
42,46.77911338071858,-117.08870618752239,773.67316,8.481665,0.0,,0.1832151365232026
43,46.77915300101901,-117.08831800000553,775.49358,5.242783,0.001273,68.0,0.3011409486522095
44,46.77912800102582,-117.08790000000225,783.34147,4.24412,0.147891,,0.1319585332946172
45,46.77928832933849,-117.08746351328749,786.6435,4.387249,0.221492,131.0,0.15445158368505907
46,46.77927800102402,-117.08706400000133,789.98356,4.858953,0.303842,,0.2377807873586086
47,46.77936300102523,-117.08664599999709,791.21381,6.088719,0.330188,53.0,0.08398803173747504
48,46.779333001021534,-117.08622800000366,791.51097,5.984022,0.331873,,0.11542011555128864
49,46.77923800102054,-117.08581000000353,791.48959,6.099691,0.32356,71.0,0.11721496281676728
50,46.779321227778425,-117.08533552848378,792.74848,5.216999,0.356237,,0.20458055725360216
51,46.77919681234803,-117.0849635131284,794.08642,4.881091,0.394759,93.0,0.22706680267695648
52,46.779293001021166,-117.08455600000421,793.82088,5.148471,0.381825,,0.16498070966744927
53,46.779246001024674,-117.08413800000488,795.17926,4.919003,0.425303,84.0,0.23995310260875338
54,46.779309001024835,-117.08372000000635,795.1908,4.74243,0.425754,,0.14785954222463735
55,46.779230001025475,-117.08330200000303,797.07129,4.587139,0.488193,122.0,0.13600733879264354
56,46.77931127778716,-117.08290190849362,797.2676,4.728354,0.496636,,0.1518980526380685
57,46.779336001025655,-117.08246600000186,797.64254,5.060669,0.511169,114.0,0.15782810075079368
58,46.77913800101975,-117.08204799999758,794.11226,5.199297,0.403345,,0.15860611820266599
59,46.779252442834974,-117.08160014682892,792.08949,6.246658,0.343363,107.0,0.19844895320536118
60,46.77927900102156,-117.08121199999873,790.87792,7.565942,0.30767,,0.1694755479479475
61,46.779135001022304,-117.08079400000462,790.36432,7.197428,0.293206,52.0,0.26640195760094404
62,46.779418467138896,-117.08039988336847,793.68026,6.728713,0.397902,,0.1952178560731809
63,46.77936900102668,-117.07995799999695,793.85516,7.081496,0.40379,67.0,0.09194268671761305
64,46.77933300102429,-117.07954000000169,795.61973,7.473852,0.458102,,0.11176164763424794
65,46.77925400102197,-117.07912199999477,797.06989,8.515064,0.501771,94.0,0.19343969468512678
66,46.77928646339434,-117.07873384588419,799.46418,7.225202,0.574011,,0.1449092753842125
67,46.77927100101888,-117.07828600000164,804.03872,3.950007,0.712317,59.0,0.22819329278563613
68,46.7794390010198,-117.08823100000458,774.87256,6.046613,0.0,,0.1971353437343811
69,46.7794140010249,-117.08781300000264,778.64898,5.31374,0.030703,76.0,0.17539422938746788
70,46.77958700102571,-117.08739500000026,784.64181,4.531689,0.158878,,0.2754151444436374
71,46.77956400101863,-117.08697699999824,790.42089,4.539953,0.31378,73.0,0.21282100349882
72,46.77964900102159,-117.08655900000242,791.22631,5.629881,0.329728,,0.15507006830010833
73,46.77963696849656,-117.08617245559954,791.44488,5.692563,0.328479,85.0,0.12837447704874008
74,46.779509631656964,-117.08569155033034,791.41823,6.257706,0.31752,,0.17545870015299775
75,46.77964200101921,-117.08530500000029,790.40308,5.954749,0.276201,72.0,0.1422505470275202
76,46.7794900010247,-117.08488699999921,792.04606,5.749048,0.324533,,0.19963384450742624
77,46.779579001024224,-117.0844690000068,791.34085,5.675958,0.296951,96.0,0.13304095165930505
78,46.77953200101814,-117.08405100000479,792.01037,5.309834,0.320113,,0.18073458191925867
79,46.77959500102118,-117.08363299999755,790.7642,5.418297,0.281551,74.0,0.1805046857369959
80,46.779516001022834,-117.08321500000358,793.58309,4.994373,0.37606,,0.1279254367930512
81,46.779585001019775,-117.08279699999851,794.14302,5.200638,0.399049,71.0,0.11634324538648591
82,46.779622001020755,-117.08237900000391,795.97144,4.861983,0.459901,,0.2161547652451697
83,46.77942400102188,-117.08196100000332,795.41893,5.286548,0.445111,116.0,0.2232262365615782
84,46.77956300102359,-117.08154300000304,795.10364,6.067307,0.437794,,0.2749236534340011
85,46.77956500101966,-117.08112500000223,794.67836,6.573989,0.426444,90.0,0.1339898167869399
86,46.779421001024716,-117.08070700000383,793.16645,6.800393,0.381158,,0.19548353027893073
87,46.77968400102237,-117.0802889999944,797.28665,6.389533,0.510671,74.0,0.19349348147942003
88,46.7796550010204,-117.07987100000196,798.41238,6.326686,0.545718,,0.13620027260355552
89,46.77960671544094,-117.07944701867758,798.47755,6.606171,0.546584,112.0,0.12033639820966785
90,46.779540001024586,-117.07903500000195,798.64754,7.010489,0.550261,,0.14213874057596343
91,46.77955200102494,-117.0786169999976,800.72532,8.204573,0.611827,86.0,0.23581930135101228
92,46.77955700102374,-117.07819899999582,803.48149,7.507425,0.694423,,0.13206477953783358
93,46.779494001021874,-117.07778100000587,807.90827,4.624018,0.827603,54.0,0.23596796619389185
94,46.779658001019584,-117.07736299999466,812.01347,4.444515,0.944378,,0.2265389307262329
